Day,"Total Fresh Weight
(g/individual)","Standarized TFW
(g/individual)",Temperature (C),Chlorophyll a (µg/l)
1,5.294227829,5.011532919,22,7
2,5.509163746,5.019957814,22,7
3,5.72986961,5.028608875,22,7
4,5.956404373,5.037488412,22,7
5,6.188826297,5.04659871,22,7
6,6.427192973,5.055942026,22,7
7,6.671561329,5.065520591,22,7
8,6.921987648,5.075336612,22,7
9,7.178527582,5.08539227,22,7
10,7.441236161,5.095689721,22,7
11,7.710167811,5.1062311,22,7
12,7.985376364,5.117018515,22,7
13,8.266915069,5.128054056,22,7
14,8.554836607,5.139339785,22,7
15,8.849193098,5.150877748,22,7
16,9.150036119,5.162669964,22,7
17,9.457416709,5.174718435,22,7
18,9.771385381,5.18702514,22,7
19,10.09199213,5.19959204,22,7
20,10.41928646,5.212421075,22,7
21,10.50395931,5.215740017,22,7
22,10.84695818,5.229184626,22,7
23,11.19680545,5.242897674,22,7
24,11.55354855,5.256881019,22,7
25,11.91723445,5.271136502,22,7
26,12.28790966,5.285665948,22,7
27,12.66562027,5.300471162,22,7
28,13.05041193,5.315553933,22,7
29,13.44232987,5.330916034,22,7
30,13.84141889,5.346559223,22,7
31,14.2477234,5.362485238,22,7
32,14.66128741,5.378695806,22,7
33,15.08215452,5.395192635,22,7
34,15.51036795,5.41197742,22,7
35,15.94597056,5.429051841,22,7
36,16.3890048,5.44641756,22,7
37,16.83951279,5.46407623,22,7
38,17.29753626,5.482029486,22,7
39,17.7631166,5.500278951,22,7
40,18.23629484,5.518826232,22,7
41,18.71711169,5.537672926,22,7
42,19.2056075,5.556820614,22,7
43,19.7018223,5.576270865,22,7
44,20.20579578,5.596025234,22,7
45,20.71756731,5.616085266,22,7
46,19.46244991,5.566888128,22,7
47,19.55663805,5.570580043,22,7
48,19.65318556,5.574364439,22,7
49,19.75211264,5.578242107,22,7
50,19.85343927,5.582213832,22,7
51,19.95718516,5.586280384,22,7
52,20.06336982,5.59044253,22,7
53,20.17201249,5.594701023,22,7
54,20.28313223,5.59905661,22,7
55,20.39674785,5.603510029,22,7
56,20.51287797,5.608062009,22,7
57,20.63154098,5.612713271,22,7
58,20.75275509,5.61746453,22,7
59,20.8765383,5.62231649,22,7
60,21.0029084,5.627269849,22,7
61,21.13188301,5.632325298,22,7
62,21.26347955,5.63748352,22,7
63,21.79303394,5.65824059,22,7
64,22.33051266,5.679308273,22,7
65,22.87595378,5.70068806,22,7
66,23.42939505,5.72238143,22,7
67,23.99087396,5.744389854,22,7
68,24.56042769,5.766714789,22,7
69,25.13809314,5.78935768,22,7
70,25.72390695,5.812319965,22,7
71,26.31790546,5.835603068,22,7
72,26.92012475,5.859208402,22,7
73,27.53060064,5.883137372,22,7
74,28.14936867,5.907391372,22,7
75,28.77646415,5.931971784,22,7
76,29.4119221,5.956879982,22,7
77,30.05577731,5.982117329,22,7
78,30.70806431,6.00768518,22,7
79,31.36881741,6.033584878,22,7
80,32.03807064,6.059817758,22,7
81,32.71585782,6.086385145,22,7
82,33.40221253,6.113288356,22,7
83,34.09716812,6.140528697,22,7
